properties.address_line1,properties.address_line2,properties.categories
Mario the Baker Pizza,"43 West Flagler Street, Miami, FL 33128, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.pizza']"
Jimmy John's,"45 West Flagler Street, Miami, FL 33128, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Cane A Sucre,"Northwest Miami Court, Miami, FL 33128, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Motek - Mediterranean Cafe & Restaurant,"36 Northeast 1st Street, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.mediterranean']"
Amarres de amor Florida,"43 Northeast 1st Street, Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Vero italian,"Southeast 1st Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Alloy Bistro Gourmet,"154 Southeast 1st Avenue, Miami, FL 33131, United States of America","['building', 'building.catering', 'catering', 'catering.restaurant']"
Meraki Greek Bistro,"142 Southeast 1st Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Wok Town,"Southeast 1st Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
El Cartel Colombian Restaurant,"Southwest 2nd Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Camila's Restaurante Brasileiro,"129 Southeast 1st Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.brazilian']"
New York Bagel Deli,"East Flagler Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Giardino Gourmet Salads,"East Flagler Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Manna Life Food,"Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant', 'vegan', 'vegetarian']"
La Licuadora,"Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
Manna Life Food,"80 Northeast 2nd Avenue, Miami, FL 33137, United States of America","['catering', 'catering.restaurant']"
New York Roma Pizza,"Southeast 2nd Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.pizza']"
La Granja,"127 Southeast 2nd Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Jar and Fork,"270 East Flagler Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Pizza Hut,"Southeast 1st Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.pizza']"
Tre Italian Bistro,"Southeast 3rd Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Iron Sushi,"Southeast 3rd Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
Whole Foods Market,"299 Southeast 3rd Avenue, Miami, FL 33131, United States of America","['commercial', 'commercial.supermarket']"
Subway,"Southeast 3rd Avenue, Miami, FL 33131, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Subway,"Northeast 3rd Street, Miami, FL 33132, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.sandwich']"
Peruano,"Northeast 3rd Avenue, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'internet_access']"
Manolo & Rene Grill,"188 Northeast 3rd Avenue, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.cuban']"
McDonald's,"345 Northeast 2nd Avenue, Miami, FL 33132, United States of America","['building', 'building.catering', 'catering', 'catering.fast_food', 'catering.fast_food.burger']"
CVI.CHE 105,"105 Northeast 3rd Avenue, Miami, FL 33132, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.peruvian']"
Pollos & Jarras,"Northeast 3rd Avenue, Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Pollo Tropical,"Southeast 1st Street, Miami, FL 33131, United States of America","['catering', 'catering.fast_food']"
Ten Fruits,"143 Northeast 3rd Avenue, Miami, FL 33132, United States of America","['catering', 'catering.restaurant']"
Smoothie King,"248 Biscayne Boulevard, Miami, FL 33132, United States of America","['catering', 'catering.fast_food']"
The Capital Grille,"444 Brickell Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
«Zuma»,"300 Southeast 4th Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
La Santa Taqueria,"114 Southwest North River Drive, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
Novikov,"300 Biscayne Boulevard, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
The Cocinita Miami,"70 Southeast 5th Street, Miami, FL 33131, United States of America","['catering', 'catering.restaurant']"
American Social,"690 Southwest 1st Court, Miami, FL 33130, United States of America","['catering', 'catering.restaurant']"
River Oyster bar,"South Miami Avenue, Miami, FL 33131, United States of America","['catering', 'catering.restaurant', 'catering.restaurant.seafood']"
