Name,Address,Category
Mario the Baker Pizza,"43 West Flagler Street, Miami, FL 33128, United States of America",Restaurant
Jimmy John's,"45 West Flagler Street, Miami, FL 33128, United States of America",Fast Food
Cane A Sucre,"Northwest Miami Court, Miami, FL 33128, United States of America",Fast Food
Motek - Mediterranean Cafe & Restaurant,"36 Northeast 1st Street, Miami, FL 33132, United States of America",Restaurant
Amarres de amor Florida,"43 Northeast 1st Street, Miami, FL 33132, United States of America",Restaurant
Vero italian,"Southeast 1st Street, Miami, FL 33131, United States of America",Restaurant
Alloy Bistro Gourmet,"154 Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
Meraki Greek Bistro,"142 Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
Wok Town,"Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
El Cartel Colombian Restaurant,"Southwest 2nd Street, Miami, FL 33131, United States of America",Restaurant
Camila's Restaurante Brasileiro,"129 Southeast 1st Avenue, Miami, FL 33131, United States of America",Restaurant
New York Bagel Deli,"East Flagler Street, Miami, FL 33131, United States of America",Restaurant
Giardino Gourmet Salads,"East Flagler Street, Miami, FL 33131, United States of America",Restaurant
Manna Life Food,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
La Licuadora,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
Manna Life Food,"80 Northeast 2nd Avenue, Miami, FL 33137, United States of America",Restaurant
New York Roma Pizza,"Southeast 2nd Avenue, Miami, FL 33131, United States of America",Restaurant
La Granja,"127 Southeast 2nd Avenue, Miami, FL 33131, United States of America",Restaurant
Jar and Fork,"270 East Flagler Street, Miami, FL 33131, United States of America",Restaurant
Pizza Hut,"Southeast 1st Street, Miami, FL 33131, United States of America",Restaurant
Tre Italian Bistro,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",Restaurant
Iron Sushi,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",Restaurant
Whole Foods Market,"299 Southeast 3rd Avenue, Miami, FL 33131, United States of America",Grocery Store
Subway,"Southeast 3rd Avenue, Miami, FL 33131, United States of America",Fast Food
Subway,"Northeast 3rd Street, Miami, FL 33132, United States of America",Fast Food
Peruano,"Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Manolo & Rene Grill,"188 Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
McDonald's,"345 Northeast 2nd Avenue, Miami, FL 33132, United States of America",Fast Food
CVI.CHE 105,"105 Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Pollos & Jarras,"Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
Pollo Tropical,"Southeast 1st Street, Miami, FL 33131, United States of America",Fast Food
Ten Fruits,"143 Northeast 3rd Avenue, Miami, FL 33132, United States of America",Restaurant
