Zipcode,Median_income
33128,"$25,984"
33136,"$30,036"
33142,"$30,915"
33135,"$32,460"
33125,"$33,172"
33150,"$33,770"
33127,"$34,102"
33012,"$36,594"
33030,"$36,687"
33010,"$36,703"
33054,"$36,911"
33147,"$39,861"
33034,"$42,771"
33161,"$44,779"
33126,"$45,660"
33181,"$46,726"
33013,"$49,197"
33130,"$50,305"
33016,"$50,418"
33169,"$50,611"
33162,"$50,751"
33055,"$51,577"
33167,"$51,581"
33174,"$51,959"
33168,"$52,192"
33170,"$52,463"
33056,"$52,538"
33179,"$52,902"
33160,"$53,393"
33172,"$53,740"
33189,"$54,286"
33141,"$55,306"
33144,"$55,647"
33139,"$56,548"
33138,"$57,063"
33014,"$57,213"
33033,"$57,779"
33035,"$60,053"
33015,"$61,784"
33183,"$61,806"
33145,"$62,806"
33032,"$64,109"
33184,"$65,536"
33166,"$65,902"
33175,"$66,052"
33137,"$66,225"
33177,"$66,492"
33190,"$66,546"
33193,"$67,418"
33165,"$67,982"
33155,"$71,646"
33157,"$71,824"
33176,"$73,960"
33143,"$74,254"
33154,"$75,350"
33186,"$75,699"
33133,"$76,560"
33018,"$76,986"
33173,"$77,108"
33122,"$78,232"
33129,"$78,316"
33180,"$79,449"
33178,"$79,532"
33134,"$79,544"
33182,"$81,585"
33196,"$82,422"
33132,"$90,160"
33140,"$90,812"
33185,"$93,002"
33187,"$97,524"
33031,"$98,088"
33131,"$107,171"
33146,"$116,312"
33194,"$119,740"
33156,"$123,991"
33158,"$163,565"
33149,"$167,438"
